127.0.0.1, 2018-04-07 11:54:08, GET, /, HTTP/1.1, 303, 0.844000
127.0.0.1, 2018-04-07 11:54:10, GET, /welcome/default/index, HTTP/1.1, 200, 1.883000
127.0.0.1, 2018-04-07 11:54:10, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 11:54:10, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-07 11:54:10, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-07 11:54:10, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-07 11:54:10, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-07 11:54:10, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-07 11:54:10, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 11:54:10, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 11:54:10, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-07 11:54:10, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 11:54:12, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 11:54:12, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 11:54:12, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 11:54:50, GET, /start/, HTTP/1.1, 200, 1.920000
127.0.0.1, 2018-04-07 11:54:51, GET, /start/, HTTP/1.1, 200, 1.200000
127.0.0.1, 2018-04-07 11:54:51, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-07 11:54:51, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-07 11:54:51, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-07 11:54:51, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-07 11:54:51, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.003000
